secp256k1,0xd88b5b823ab198782a96c71e8245192a5a2ede28397dab48bf89b30fa725cb58,0x41c49fbc06c69bd3334dc758d07e852a1002da5e2087b61ad6f81079d6e115fd
4928044289732deb3f44b870bcfc97634396658406a502c9b4c0dabcf78256b8,-77807b382c9ca249498728a09920e2508c87c2f266cd676c4e49a55d3d05b369,16
b5916585c1af6d939ada7e3f63ae9998e6b9327cbc2fa70de05b8ea100003085,-88205061414afef3e7b8c4113d713640967b7f22ed814e1f2a89c39f1609f848,16
4f87c691e9882541f9a3f471f6701da7099bd49b475d19394b4a7f4ae032f396,eb65744dd11426d3bb608e5d5f57c6fe10a6db89f0b3687460dee99de00690b,16
337fbfea67379fce8e473c561c3cd5e27c93e69cb245fe3b7273721ab3ec7534,162ec27807ef73cf4a9784613a3ff90b9299e9b9e5e7a08548243897e66dc177,16
abf6e1d240cf31bb2ef2877c8c92945339839c7e2996f321cc0aaf9609bb7f7f,-8e647259bce49403b92ebd647192619c1aad54b9a9b94d7b439c9a407c950e38,16
c8318267405274cf7f2f16409fda2669faec660e1c175e400c0ab283031db7fd,-c06016ded3d2bf614468f36499f4073e03f8efc91a03de98bbdfac44e3073f02,16
242b8b62ac1b7213c704dd99e3560cf5727625ab49ea8721c67f776adb752b4d,-bbf72af91b23d1137c898b264cf5f1537b360b9a3fbaba3a3d598d3295a385a1,16
42bf4b607387fc89799eee37c7968cc8655617b4110ea88543a73209396e4a11,-3e217e07f7190597b81b25049cb6e684f3315d0de9fd28547357b279f703fc2,16
bf207298e00c25419a1f9cf700c48c4f9196cb7aeebb34157480521fd85bb5a8,-1b78ac707f01f4b200cd46a387c3c735e7a1b7e3fb2591d0847405b84ea8f089,16
4945fb8fdb6846533a234b17b62f2fc6ddc174cca992c9179403464a50070588,-5f73f22ba01816e96e23a541855b2835c242aa0447354b2bcb5a44b317229d68,16
d111c6497159048d8a1518e1da7736612a88b151b1c7fda3b7ca7971d2f0632e,-99d7f3d09bc00ac3af40c16786924583f9d427d82ca3b59a0ead714ee1278448,16
fc7aa5d201f303911aadd214975735e55d219f6effedd5edd3a3cc2ff3ca8315,151fdb3a2ab2f209290a8237625c54a41a61f0b14e74e453031e62bc23a0e16e,16
f4fa902f5038bf320bdcb7ba6a31ef5cdfe0c6f29861255951937ff956b4fbb9,-af23f0fc6b03bac94b78fda68d423f217e86c40e7c8b110266ef31c5ad9e1619,16
4036e7c4eb4c87a848d96a5b76ae21341735b6f8913c795e206b0f0fb860b546,-8cbe71232ab6619cf448e3920d48cdd43728e72acfa210a24b22bfd8fb3963da,16
7e1517641b689b47fc4648deb37a843011bef72c5a0da28b28e653578652963f,-c0766bd2a8d8315a930b4d2552cbfd01500ea74066c981eab58e2a3e70bdbc65,16
3461ea0ee5ea8dfeb1c3b91993cd48c134d671abfba7418b1f24d9e7c91ee41,606ab242677623901a58c6d8eab760e32efa58612d667153aa4906f2a573eb6,16
4be7fafcb27fdabc05cf37a09b4cc5621c1c0c1b732b973a1e1b6033cc9a1d8e,-d31b6edfaa79b3d6c6eb3309cbc5be2da2999a4792b90d3cd15610d144fe0b71,16
a50b35bb8225fd1864e2c7b1ef0d81280826b5656ddc8267e688c7e70a1e5775,-62fdebbe3475cc8e42703779417c6ceda33e51dd898013c355531805a14d4ee2,16
18968cc3b5036555518bd38bf10e029d5172b1c3f27d8a739b90d1805459de10,-9aa9ba3b2eda171a777ee46572a6ffa96a6bb90a81fad780b37fb978542befb7,16
95360523b68f8b195a88736258cd66a3493b34946fd2250536b1bae1880cda2e,-6bf8eb9741beeb0984213356a36a3b0f1def9fd3ca22ac44b3bd7111d1d5596a,16
ba73a51f9da6e985fe937283b74f11466bdf3af76304eb63ae6fb4c876b0974,-99838df58d2d0e380506a761990d6a392f2923b9a365f3ad5fa945b1feb7fd9d,16
8755dcbad64a1872bf30189448d1e28b5d11cc8efa159a7ef59be7c82cacbcd5,-521aeef01e69625cb40e21fcc30864f7a655c7f484049082feb4e703a698c43d,16
859326c4765add6476c9ffd6684b3e34b68e7364f7d7c4cd9ed9a3c81ad5d6ff,-91f73eb30771302157067b6c4e62767dccaecd44b2e2ace65613d4a2309fefe1,16
4f4cf5edac9718de0ffe4730176b9ff90731b1d78f18aaae6c817a732241a233,-294fb45edeb1b45d0dde574a3e27b3df93edd7ae1f8a10fc5ede70755824dc24,16
844476dbe5cca33a240ab752615e82b181d539a6dc5105f600d92855c7dfadeb,-7c87dd3bc35467eb8a34aee6149f8849a78963893560d8fcb206898cd734ab08,16
80113b3dc972f6e17a4723b09506fa2a2ad7d824707e67252a811df9f84b96c4,-c5918cc422c7bcbaf0d5d747c9299dde708e355510c9f1e8fb6abad233c39bc4,16
601faa79452bcaf3e5e80f4078d22279c56e65ddef855801ea006137073a0708,-a5e8d52f3b4e76219687bdab6af1183d05511865b6bd7e844a56c93835fd8ee2,16
578732dd0952a86d1853e4bc9a06ca4367087f73e5787ff918525ce79d03c3d9,-db0ac7b83940ff4a0cd274faeb4b102d531170821200e2996e67eb991a08893a,16
6d77660e47a2779a8a2b36009ca9e7cc05affe0889eca1de514b1c0fadca0350,-2b533d9872c56163372922c31f5b55bcbd299bead0a2d6f54ea5451219913a7f,16
c730087a02bd76b91f4c77daf3474cc0290e75400e21c77bcf1fb17232f81179,-b45d6102cf78dead33af7e8b01cfab3c092a71675e97f76689638131df9deb80,16
cbb474566b2d3775c561aa4c4f70bfdbbc8e76595eee6b9cdda1daf89a5ebbf5,-c4654471b6017b1ea47d33a4fbfc71fca943243791eee7b971591f94a81a9952,16
af915fe8b8581e65ba4b12fb1f5f90a942645fa0be66cb8160ef86885311b8ca,-e79392a3339714b545178940393c27596824239cbf87c058ea13aeb6ba0da1b4,16
25fec937c4bd0fb0f3566a44123bd3622989dd9739c0c9ea5fdce48fe6a7f3a2,-3b8d01392cdba77f17944d5ff8ea9e88e50df34aa369e4c4e624edba6ac8b024,16
84d7e4b30f824699307a952d1d040699b496abef40b67456491ac04f92f029b0,-1d6d4df90400738cc8caf3d05d404e1388841d1f6b21cc7a62192b61bf8013e4,16
16d4321b12f0941a3eef02fb12b79583d8d4567f8f5e0dca662cca430e6be6a6,-4dfc239ea3e626fb0e0e6f8c1591530617460ec4fe643a5aa22385496129fde0,16
db7246213f6a59495a26d94fdf695f089fc2f58eb4b9b377ecd917679b2f3a14,-b8164893858de0706f2b7d81306866655fd880d75b73c6617d5fa96bfa827c82,16
e21455444c48d4c81b4d4143b0cd9747dee980ec7bebf9a2b5e3752db5a20ce9,2e350ad9407e000168e5e9818015d7c7f36cf909324ba5098f1e1737009c344,16
