secp256r1,0xbcffc6ff65f78a770f264e561e3fde75578694dba72d0ad0a2b3137b4e249047,0x362937b3fa35c80165e611f0ca3bb27639d2a6ec4a42804aa39e0139388fef38
8a48ddd993a64a365bd3f085b22c6b0a88d5b36cb532e4726176ad6a6969e4,-10ddb54e66e6055e2191460fd1e6b010e86bf87afd3a52f9dadc3dfecc9eada9,31
de7c0a672ce389def875f6f029f331508a09a0fc23b28ee4fc4a71dd9b8ad9b9,-a6b476996cf72ec1014fbc03d1da29e8ce12b9ce301e8c567438f8dea570e5fe,31
41821eaeadaa890990f3552ff2237ab44c08a67dbd40f331eebf233a3e5d709,-66474ac376c5248aa85fd9fd0dcc28583b23b7d2ca6f1447e7c0f3f179411571,31
32f1e3eec287da0da3b16f7f020280d9fcb16371b0b850173c6ccc7479f27bc6,-aeb601c2431807bdd7ad9a9faef4be190c51356ef93a028a87611e495f99c7e7,31
b2e73aa074dbf713aaadfd03d86c8a6c74342d341d03ef590560ed59d72f550f,-23c58fd78b1a272aab275d91cdf32e8da28c6b39e90dac59758a8c57a0cdbbfa,31
c0f58cbc2355c29b8e0f6e9f1a23a02db40ed58fe5a604315d41467535d9299c,-f7bc1be3e5ca31588e00767fb379a8355e435e530d35152539be17407661c15e,31
99c1090b7b899d7b73952db5177df1352d34aca44e12eb3eaa7e73b3890e9dc0,-e91521a2d7dfebab169e690de08802bca0ebabc92fc89cb5b3f01269bf2dc7ce,31
3860d40cb610b09674a7d32a2464775a24fa580594f88f28d5d7ef947ab9ff8,-8fa8f01302cf1c2d2c3efed1a35e70ac5620120e334ad6b73ab715b03674d827,31
b810db1b96f141abd6823c9a855008f58e5a1275e3405d028ac576a469979061,-f2169a676756cddf3859b4e8ae81b0c54071de7f22670404e57d18f4ab438c97,31
ff2983abd8bd8db537cac6dcd646e52de7c64f558d143910b790281c8c805e2f,-2f89122ec5ba2f11e414d4ba487e50d6d594b52fc79221f1ea2bb9bbfd650094,31
2da5449308732abca710df59e67dfc1baebbe9ff894ac6d05dd17932c4786abf,-908b27c21552d94e0909c6d63044a7e7ec16371ee86f87b94542dca86b491620,31
f89821f56abbfa51c5404cba244b3979a8aeec25fc700229753363b89459cce8,-c15dee1aeb2b0b58cca47d34a882efe5f5e8e94a42a1e85e114c8f4e9fc89cf9,31
8dd73869fdca600213802df973d84f7db01565bf35737bd857a5a0050b6caed1,-159a315d1b09e61d454fcc616fee2e978a28f8c2e8c22f6fb6cb0b37762298a,31
794f2eb2a2aa184799c0d2ec660b19ffb8ea81023b09e2d1dccc0bb32c0a4600,-6b04676bf3c5ef56001527aa2bb9d0d4859fe883f53d109626c61dc7b876702,31
e136b5639c35bea9c56ed80eb17ffc128915b32ff7f8afdace43c387ec94ed6f,-5e20f7c0f3bf0e91e4265636015cf40e7389d7ca05f75d323db2881b49132549,31
9005ce90937bf5782e46d980a78c5e46e15f0c696c423671f580151ed636cf71,-6a51948ebb38a957b5811024b44a398cc9bda207be66ed650837a715ed005e07,31
7b564c19f1ca4d814ec8c42f06271a2680c3c8e1445a6e078a3a412ba2d8ab24,-62aefb25c9737391e138fa4fdf46681e986a9aed367047c33bf25970bceb7001,31
73430dab4bb38c3ec029e2008b9e3ddb380a75967d228027aba337bdac905cc4,-e8936bd2e320038a374d2ee8cea5e3eb905b48b53dceada969c04c964fc1c1d0,31
6b0ee69a49f4c1dfbdc453996e778f97994636fae2a6f3ac75d14ec135954b76,-a71f9fb25e50dcb81036c291068a9916665c3e0c61ec709c994325b239cf945b,31
e315c76e1577b3970390aae52207607149e8a0cafade707d02ef9ba2d682edb1,-b67fa7400ebbeed99cfdc26d2a3bd9124f00438eb476ea9d8a0cd57845ed1239,31
5637ef11eec94afb48346abbcf70bd35cc4c64d313bbe8f7a8243ab396d025ae,-e15e1f6798c51f3854346c750bd0dce0cbc7bf33dccc1ca09991c08e0ad6ff6,31
8ce83dd5f139aa4cdbd1c4794deadf0be6690d7eb7ebe95022cf86bb9376801c,-e2a5d3d29c8d279fe045f88a7856f28adbcb44d349755cf733676cd827c59abf,31
1d9de4909b428a6b2e3174ea98b085cc30bcd1493ccf6055c6d32e181b567256,-58eb2cc9ad6c5bcbe1cf2e0a0a369c9fae44f2d2805ec0959d839e0bf78b87b3,31
eeaf5643ecb1b1e30c0d44611270530f7c4eba8f988d873fd95c4d2756373d4b,-7684991936870eaa698cbd1623a45d869ae69858982d2dc3de7de311569077a0,31
d8a6f1665a7f17c3f86584cb4805bc6ea10adb0843fe475fa9903987c2dccfd6,-a66531149cdb403dc0645049402f4b4896b1049d651ceb02a6db5e85f3ef6f4e,31
dbf32be9204c1a2186d1769026985e826ea175ab84d59227aa79184f0a653860,-377fd9a08ddc4bdacfac086c614d91389a6721f3df455699b550662a5df022cd,31
42f47679818bebea94f28f1c9d5be2fa1ad445086cb0d0136dbccbc310afdfde,-ecab88660de3b19084279d6f7a5c119e341f94b7586cc3c452738d1926a1f6b7,31
6214bae8451e22bd21bcf66714a5848bcd1454246e4c83d747f392f2f6697f6b,-ba47d161289a5f2c85a77bd61d60c03b7ca4861c3b03bf23fb2feb8bd826ff7e,31
ce52fea4e20efb2728d8ee585326472b1a1804248803bd535f619448654866bd,-15adec2dde303cb7984e227cf8543a03838a38fa2602cc6be9c6cf8396bd77b9,31
c4ae2191d539f944f304053715359b6bb0a8ab6ca2b82b5870b8fa9bcd10d8df,-b0bb06332c22232ccaaa0ca40d3abb96e432b8d7cd3bccc2573590453416cf13,31
f26c6a73f0bf425f70998db86ce9998973de9d46afef8237f47bff2de37c81f8,-2967429490c630a5e779fd17d98b6b5567a20ff6dc63d6e564b8c1a960be5a03,31
c7eacc93ec21f1efd8a22de5dc4ccf8732861170263f6549b53d8970ab82b8b1,-e0ad5508b8af6d09837da5e49a4f66abbf805b61c9d55729961335a237b62449,31
cc1a4c3a217b19d3ed8400b509b89b06a66b631bc3405a04ec7b0feb71e7fae2,-af1220910c9b6d8399601fa9d3c4766017814dd49a5123cd61942abf596322ff,31
f888fa17e0ff9ebac086f74cc2f0c8abf7b750985f165038408cd0199ec573b7,-bc160dadc429b68402697c1ec06b663a248f43cc5b1fca86824af8b049eb08e2,31
d4bf3e0a1529ada4c9b7e79e3933799608c9367eef920948dedaeea7821c81a1,-7600dd86a5bba6f31344906a985945e9ac0982a12bf369754d29cbc8785870b1,31
1f4cfe223976c526f2e76df7722bfa1849f5cfac2eeaa263be15cbd9229b2a51,-639f3c4959636764fa0a73848bf66e978b11fdd3b3c497b0b7540d82e823d42a,31
719aee7997a9f18350e3dc2ca911e9ae5f78762c65c3954f7172a9dc5058b638,-cfcec8f3dd57ec6830d6a83ffd0c8c3179ab9d019e72c05c582e206cfb7eb4aa,31
529666fd72a3b2201953511c51eb2d46836f706847db35ccb8f126a420316056,-1a0a82b407714e5ebc90014967ee6e77b629a015cf29a05fb2087f887b50cbda,31
33dfe4a362fa4228204696848947a5f3599e86f871c38a8e56ffdf3166342e15,-e093a67d99ba10195bd3a08f09ba6290abd52922fa059128551718d4d4cf4d27,31
c5b1a73d404f46653cd62dd4cc1ed4da3f34b7f2bc1c908bb00f6256fb7f86c6,-e7e4b6c0a6a3d7290a5c4c681e7251002db8ca12a4237eb1897dd907d120b6de,31
b984c27635252096694fd2603044993865dde4c142f047adb5716b46ab850e3d,-10b4cbe525d65558b5edc78f25736d008ff330821f241b52db8e59ab1d82483b,31
a71fe31427d9b89a6a422cd46dc10f3dd912bf3a10fac01d1569747c45b2587f,-7918d47e6f46a80b0939f45d2af792a85ff01d54739cf4cda5a92daa4430ff84,31
2cfe31d4949e59550e8b63bba92ef6670cd32c0b28ae30fab1bde5fb751e332,-9ba7a03a2bf35eb07f1e27ea23e4591f236c545ed81b496e9d0e0e545944882a,31
d77415b85405c87952c7a770172142d33b4641b8c143a726b2a1c3c66719ccc1,-c57cd1eb806992d5453181f97e649b487b2a809cc015e16a8bbb8ac9162e02c2,31
ca36ed740936b5f0e0154eff4a05d0118b0b9297d69cff3d3f70d68e061b6782,-c1ca01b2a7fd13a84dee4bceb5c350c94ba19bed8d117a39e35dd7a1de8920e8,31
6ee4836ad87fb0de80c0b56c180a289ffc9fe364ce3f19daed462165f94d481d,-7409e2949786bdfcb0241dadd5df185c771a99f14bcffcd3de28fddb561c1f9d,31
de3c2e315c4d1347c441c6daf18db5d9624d00d421f825750079809dbff01552,-b9a47d6fc1e63cebac2cd93ca8fdd8013239bc3cdd628e0754adaefe14bb312d,31
5f67dadbb11bbf75bbed8deaba6e389722e042a8fcd2747b59250e07841cb76,-41a57ed2154c19a985074697be5ba6e784b4e8ad14c3642f38bc4fd496c94fd9,31
36e9f9bf7f765d362ea24052c9636e827daa7ee6464788309627a5d575821784,-3f8a8da3d2231e4f35b22a8938a449cf78f450bc4913bff9c25261a86426a29b,31
af94fefcae83353ae62176ce66485f525dd111852ae80d02512b43e0e76c05c9,-dd85e918f9fc812690a88783d2f41a58897140e9887ba055c377a3c7e6167671,31
91cdee91c21486473466fab5080d0b021d91a54432f1ccf43ff33dca7c0a5a5f,-6e6bd87048ddf20618f4dabaee75cf7a470c483fdf36eef79e7c43f556e89928,31
71106d2619217c208d563290ea759979b6290ebfd4ba4a4d6c6e3fb47fd828e1,-2b59dcaa37d9cedf3587fc890c899611334fa12bce236caa4724b2f9e573c1f3,31
e39e499af4bded91ef2f5f20f168f626899a65784e4d5915db96929d2663f6b6,-7491e626af718aadbe91641e0775a9c1a6c4679a46489a79b3c5d62b74c29749,31
cfae26f914eb9f6d1a65766e7343db9743f140cb22cb9cfb59f8dd1792cc6b38,-3e8158be947ff5bbd92df50f83345c5ed62237376ed613ba512f78b0e6adff34,31
b3be9b7dc863f2ef7f06391d12e053b0f79a3656b65c0abb154f85035137aebc,-b185afec61586ab55575433be0e9bc25c259248dd11c2b668bdf514d0af01369,31
dd0f297fad6f90949490de21785eb52426fdc5a7a6cc6cefff56d42eaeefb7de,-d95e76ddb7bebf65adbdcf243c2a9c2070dddac2e45c680b4d5c19dbe7181d50,31
38e0a54f06376afdf55fafc20264e28f598bf08de96a04aa9d126c38c1732674,-bddbd3f60080ab7548ce2b32fd01b2bf5262b1ccafe779b603250815caf60651,31
